$ eslint .
=== test spot batch fetch directly ===
1175 symbols returned:
  TRXUSDT    price=0.33173
  LINKUSDT   price=8.026
  UNIUSDT    price=3.621
  SUSHIUSDT  price=0.1635
  COMPUSDT   price=17.02
  AAVEUSDT   price=97.51
  DOGEUSDT   price=0.07319
  CHZUSDT    price=0.01723
  ENJUSDT    price=0.02838
  MANAUSDT   price=0.07044
  XRPUSDT    price=1.0967
  BTCUSDT    price=63988.33
  ETHUSDT    price=1803.39
  ETHBTC     price=0.02817
  LTCUSDT    price=44.63
  BCHUSDT    price=246.5
  ETCUSDT    price=6.896
  SHIBUSDT   price=0.000004298
  1INCHUSDT  price=0.07358
  ZRXUSDT    price=0.0877
  CRVUSDT    price=0.2066
  BATUSDT    price=0.0843
  STORJUSDT  price=0.07544
  SNXUSDT    price=0.2369
  QTUMUSDT   price=0.6914
  ZECUSDT    price=520.22
  KNCUSDT    price=0.1106
  GRTUSDT    price=0.01761
  WBTCUSDT   price=63985.7
  RLCUSDT    price=0.3011
  OGNUSDT    price=0.01682
  CAKEUSDT   price=1.435
  BNBUSDT    price=580.9
  CHRUSDT    price=0.01574
  ANKRUSDT   price=0.003744
  RSRUSDT    price=0.00125
  JSTUSDT    price=0.10127
  ICPUSDT    price=2.251
  MASKUSDT   price=0.4071
  SOLUSDT    price=76.81
  FILUSDT    price=0.7848
  CELOUSDT   price=0.0704
  BGBUSDT    price=1.6765
  YGGUSDT    price=0.0221
  LDOUSDT    price=0.3088
  AGLDUSDT   price=0.1712
  DYDXUSDT   price=0.1342
  AXSUSDT    price=0.998
  GALAUSDT   price=0.002094
  SANDUSDT   price=0.04876
  ALICEUSDT  price=0.1251
  TLMUSDT    price=0.00209
  DOTUSDT    price=0.848
  ATOMUSDT   price=1.57
  IMXUSDT    price=0.133
  MOVRUSDT   price=1.358
  ENSUSDT    price=4.147
  AVAXUSDT   price=6.421
  CROUSDT    price=0.05584
  JASMYUSDT  price=0.00455
  GRAMUSDT   price=1.642
  COTIUSDT   price=0.00806
  FLOKIUSDT  price=0.00002263
  TRXETH     price=0.00018389
  ZENUSDT    price=4.153
  PEOPLEUSDT price=0.005464
  METISUSDT  price=2.926
  BABYDOGEUSDT price=0.0000000003204
  JUVUSDT    price=0.3211
  KAIAUSDT   price=0.03483
  USDCUSDT   price=1.0005
  TLOSUSDT   price=0.01321
  WEMIXUSDT  price=0.2514
  ARPAUSDT   price=0.00869
  WOOUSDT    price=0.01167
  FTTUSDT    price=0.2201
  WINUSDT    price=0.00002093
  SUNUSDT    price=0.01845
  ARUSDT     price=1.975
  LUNAUSDT   price=0.0488
  GMTUSDT    price=0.00774
  KSMUSDT    price=3.326
  APEUSDT    price=0.1543
  XDCUSDT    price=0.02703
  ADAUSDT    price=0.1645
  EGLDUSDT   price=3.051
  STGUSDT    price=0.1538
  RUNEUSDT   price=0.4058
  COWUSDT    price=0.1398
  RAYUSDT    price=0.6823
  DODOUSDT   price=0.01619
  ORCAUSDT   price=1.163
  ZILUSDT    price=0.00299
  LPTUSDT    price=1.556
  PAXGUSDT   price=4099.5
  BGBETH     price=0.000929
  BGBBTC     price=0.00002608
  NFTUSDT    price=0.0000002685
  TUSDUSDT   price=0.9983
  BTTUSDT    price=0.0000002671
  GLMUSDT    price=0.1011
  NYMUSDT    price=0.01697
  ROSEUSDT   price=0.005778
  NEARUSDT   price=1.889
  HNTUSDT    price=0.2207
  BTCUSDC    price=63963.03
  ETHUSDC    price=1802.57
  XRPUSDC    price=1.096
  ADAUSDC    price=0.1645
  SOLUSDC    price=76.78
  LTCUSDC    price=44.69
  LINKUSDC   price=8.02
  DOGEUSDC   price=0.07315
  BCHUSDC    price=246.3
  LUNCUSDT   price=0.00006163
  USTCUSDT   price=0.005696
  OPUSDT     price=0.1025
  BGBUSDC    price=1.6762
  FILUSDC    price=0.7847
  JOEUSDT    price=0.02821
  BNBUSDC    price=580.6
  TRXUSDC    price=0.3319
  AVAXUSDC   price=6.421
  UNIUSDC    price=3.621
  LATUSDT    price=0.0006296
  AAVEUSDC   price=97.63
  ZIGUSDT    price=0.04473
  PSGUSDT    price=0.5348
  ACMUSDT    price=0.2862
  BARUSDT    price=0.27
  PORTOUSDT  price=0.4067
  SANTOSUSDT price=0.5239
  ASRUSDT    price=0.8748
  ATMUSDT    price=2.598
  INTERUSDT  price=0.2301
  AFCUSDT    price=0.1561
  SWEATUSDT  price=0.0005456
  FETUSDT    price=0.1606
  AUCTIONUSDT price=3.324
  ACHUSDT    price=0.004443
  ALPINEUSDT price=0.3097
  BICOUSDT   price=0.01409
  CTSIUSDT   price=0.02343
  SSVUSDT    price=2.057
  AXLUSDT    price=0.04282
  INJUSDT    price=4.911
  ARGUSDT    price=0.1566
  GMXUSDT    price=5.909
  MINAUSDT   price=0.0433
  NMRUSDT    price=9.535
  QNTUSDT    price=65.81
  APTUSDT    price=0.6195
  SUPERUSDT  price=0.0872
  TUSDT      price=0.005613
  TRBUSDT    price=15.18
  TWTUSDT    price=0.3496
  WAVESUSDT  price=0.2617
  HFTUSDT    price=0.00897
  USDTBRL    price=5.193
  BTCBRL     price=332147
  ETHBRL     price=9349.6
  ONTUSDT    price=0.04513
  KAVAUSDT   price=0.04453
  BONKUSDT   price=0.000004021
  USDTEUR    price=0.8758
  BTCEUR     price=56041.55
  ETHEUR     price=1579.3
  COREUSDT   price=0.02526
  BLURUSDT   price=0.01715
  XAUTUSDT   price=4095.69
  RAREUSDT   price=0.01281
  CFXUSDT    price=0.04358
  NEOUSDT    price=1.974
  PRIMEUSDT  price=0.2299
  ASTRUSDT   price=0.005247
  VELOUSDT   price=0.003036
  STXUSDT    price=0.1761
  RONINUSDT  price=0.05517
  ARBUSDT    price=0.0956
  TAOUSDT    price=210.2
  CGPTUSDT   price=0.01882
  PENDLEUSDT price=1.524
  STETHUSDT  price=1804.08
  PEPEUSDT   price=0.000002744
  BGBEUR     price=1.463
  BGBBRL     price=8.693
  SUIUSDT    price=0.7413
  TURBOUSDT  price=0.000847
  KASUSDT    price=0.02871
  PCIUSDT    price=0.03806
  ORDIUSDT   price=3.485
  MAVUSDT    price=0.00953
  ARKMUSDT   price=0.1118
  MOGUSDT    price=0.0000001044
  WLDUSDT    price=0.429
  MXUSDT     price=1.6581
  SDEXUSDT   price=0.000597
  SEIUSDT    price=0.04954
  CYBERUSDT  price=0.3802
  XLMUSDT    price=0.1863
  GOMININGUSDT price=0.2825
  MAXEXCHANGEUSDT price=0.2716
  PYUSDUSDT  price=1.0004
  CBKUSDT    price=0.1827
  BIGTIMEUSDT price=0.0072
  STRAXUSDT  price=0.00967
  ORBSUSDT   price=0.006145
  XRPEUR     price=0.9602
  SOLEUR     price=67.45
  BSVUSDT    price=13.49
  GASUSDT    price=1.071
  POLYXUSDT  price=0.03683
  BEAMUSDT   price=0.001636
  POLUSDT    price=0.07937
  TIAUSDT    price=0.41
  MEMEUSDT   price=0.0005568
  SATSUSDT   price=0.00000000952
  RATSUSDT   price=0.00003079
  DOGEEUR    price=0.06413
  AVAXEUR    price=5.627
  PYTHUSDT   price=0.04709
  SKLUSDT    price=0.004603
  XTZUSDT    price=0.2292
  VICUSDT    price=0.04017
  10SETUSDT  price=0.00901
  HOLDUSDT   price=0.2218
  FIDAUSDT   price=0.02168
  RIFUSDT    price=0.13331
  VANRYUSDT  price=0.006498
  CETUSUSDT  price=0.01821
  JTOUSDT    price=0.5959
  CTCUSDT    price=0.0846
  LMWRUSDT   price=0.01159
  ACEUSDT    price=0.0737
  SNEKUSDT   price=0.0003294
  ELAUSDT    price=0.2989
  XAIUSDT    price=0.007074
  IOSTUSDT   price=0.0007074
  UPCUSDT    price=0.2313
  PROPSUSDT  price=0.003403
  MANTAUSDT  price=0.05756
  AVAUSDT    price=0.1662
  WIFUSDT    price=0.1505
  ONDOUSDT   price=0.3293
  ALTUSDT    price=0.00636
  API3USDT   price=0.2283
  JUPUSDT    price=0.203
  TXUSDT     price=0.004333
  ZETAUSDT   price=0.03534
  USDCEUR    price=0.8764
  DYMUSDT    price=0.0158
  PIXELUSDT  price=0.004758
  STRKUSDT   price=0.03052
  HTXUSDT    price=0.000001851
  MLUSDT     price=0.006269
  PORTALUSDT price=0.01185
  MAPOUSDT   price=0.001102
  SOLBTC     price=0.0012008
  NESSUSDT   price=0.002929
  AEVOUSDT   price=0.01925
  KLVUSDT    price=0.0003977
  BRETTUSDT  price=0.005338
  BOMEUSDT   price=0.0004103
  ETHFIUSDT  price=0.432
  ZKJUSDT    price=0.007037
  AEROUSDT   price=0.5191
  USDEUSDT   price=1.0008
  ENAUSDT    price=0.08158
  IAGUSDT    price=0.02328
  WUSDT      price=0.00969
  MEWUSDT    price=0.0003668
  MOEWUSDT   price=0.0002294
  TNSRUSDT   price=0.03114
  SAGAUSDT   price=0.01286
  MASUSDT    price=0.003204
  CKBUSDT    price=0.000917
  MERLUSDT   price=0.01766
  ALPHUSDT   price=0.04053
  SAFEUSDT   price=0.115
  ZBCNUSDT   price=0.002176
  KUBUSDT    price=0.7295
  REZUSDT    price=0.002625
  KMNOUSDT   price=0.01877
  OPUSDC     price=0.1023
  GRAMUSDC   price=1.643
  ALUSDT     price=0.001724
  ZENTUSDT   price=0.001944
  BBUSDT     price=0.01918
  GAME2USDT  price=0.000931
  VIRTUALUSDT price=0.6052
  DRIFTUSDT  price=0.0146
  NOTUSDT    price=0.0003836
  VETUSDT    price=0.004921
  DOGUSDT    price=0.0006237
  WUSDUSDT   price=0.997
  TAIKOUSDT  price=0.0846
  IOUSDT     price=0.1638
  ATHUSDT    price=0.004518
  COOKIEUSDT price=0.00934
  ZKUSDT     price=0.01048
  NPCUSDT    price=0.006902
  LNQUSDT    price=0.007623
  LISTAUSDT  price=0.04838
  ZROUSDT    price=0.884
  BLASTUSDT  price=0.0003656
  QUBICUSDT  price=0.0000004818
  MOCAUSDT   price=0.00892
  A8USDT     price=0.00533
  GUSDT      price=0.003445
  ZKLUSDT    price=0.0002306
  ACXUSDT    price=0.04191
  RENDERUSDT price=1.552
  DTECUSDT   price=0.005764
  ICXUSDT    price=0.02447
  DOGSUSDT   price=0.00003892
  ORDERUSDT  price=0.03384
  CPOOLUSDT  price=0.01953
  MAKUSDT    price=0.001076
  NEIROCTOUSDT price=0.00006204
  CATIUSDT   price=0.04019
  HMSTRUSDT  price=0.000207
